Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinSum,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
internal_mass_area_ratio,0.007160678,0.01619825,0.026511839,0.015986072,0.015422713,0.016463865,0.016708274,0.01672636,0.016688536,0.016721079,0.016651635,0.015913823,0.016463744,0.015427106,0.014977524,-0.002409118,0.001427706,0.004693917,0.006645416,0.027665747,0.060750608,0.106345402,0.142342342,0.177225029,0.103378972,0.026500219,0.003613511,0.012953995
cooling_coil_cop_bakery,0.011172472,0.014169964,0,0.007252568,0.008430087,0.010835943,0.013692181,0.016079534,0.018835051,0.02062949,0.021977841,0.01744322,0.013508233,0.009973733,0.007583667,-0.027771096,0,0,0,0,0,0,0,0,0,0,0,0
equipment_density_deli_exhfan,0.009436541,0.011968212,0,0.012773255,0.012658502,0.01255449,0.012288335,0.011931285,0.011559095,0.011167985,0.01080018,0.011321164,0.012047297,0.012325051,0.012668374,0.003473464,0,0,0,0,0,0,0,0,0,0,0,0
heating_setpoint_setback,0.055649343,0.010949578,0.190851006,0.017897576,0.017989967,0.015312452,0.012223161,0.008848902,0.005871969,0.004260944,0.002744431,0.004844732,0.010563249,0.015029015,0.019490781,0.030382982,0.187317451,0.173622976,0.178694614,0.188607376,0.207348127,0.215813953,0.217106162,0.228004554,0.229399336,0.208649337,0.18423304,0.170892306
ext_light_w,0.007835783,0.00996114,0,0.0135817,0.012284582,0.010864662,0.008948768,0.007604988,0.006456428,0.006695144,0.007380571,0.009238297,0.011151857,0.012704788,0.014119322,0.013625307,0,0,0,0,0,0,0,0,0,0,0,0
roof_base_type,0.001193552,0.008910769,0.038615842,0.009908446,0.009702824,0.009583544,0.009124411,0.008811878,0.008506616,0.007695241,0.007473691,0.008276613,0.009305454,0.009425946,0.009729347,0.004468861,0.026623293,0.026205959,0.032727859,0.036926361,0.044117647,0.058970976,0.089956332,0.111720067,0.073014629,0.039792261,0.030225915,0.026361331
cooling_coil_cop_deli,0.006119908,0.007772815,0,0,0.000439174,0.001119799,0.004790561,0.008428111,0.014665782,0.019447586,0.021407082,0.012510395,0.003646,0.000677804,0,-0.040854668,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_office,0.004003214,0.006756008,0.006162033,0.006990918,0.006951883,0.006928406,0.006828708,0.006766177,0.006734508,0.006606283,0.006470697,0.006522135,0.006701834,0.006770306,0.006932922,0.00084686,0.008834073,0.008468425,0.006861431,0.005254562,0.003303965,0.001054991,0.000523926,0.000421496,0.001174935,0.004380841,0.007044077,0.008666693
oa_area_sales,0.037287899,0.005750555,0.143408659,0.002897856,0.003355263,0.003474813,0.004979072,0.006366107,0.006575149,0.008104771,0.009123904,0.008037179,0.005960215,0.005232061,0.003407898,-0.010922921,0.161411237,0.14859491,0.15044464,0.145100584,0.14174154,0.124634503,0.101700458,0.092368682,0.134714405,0.143724967,0.145117733,0.142047545
equipment_density_office,0.003100584,0.005211362,0.004691928,0.005299861,0.005270409,0.005344558,0.005246797,0.005261788,0.005302918,0.005164409,0.005126826,0.005065875,0.005107693,0.005143992,0.005236223,0.000244849,0.007138888,0.006737434,0.004993021,0.003697121,0.002296528,0.000791452,0.000523926,0.000421496,0.000914077,0.00292419,0.005187798,0.006832797
economizer_type_bakery,0.001732777,0.003100415,0.003281746,0.002962251,0.003273286,0.004071117,0.003977725,0.003698031,0.002616871,0.001589409,0.001435084,0.002873405,0.004187178,0.003830195,0.003116192,0.00305395,0.003199932,0.003433767,0.003374217,0.003544842,0.003571756,0.003156234,0.00261324,0.002313354,0.003254785,0.003571429,0.003261207,0.003209371
roof_emittance,0.00797632,0.002939403,0.047926187,0.002077382,0.002104663,0.002335119,0.002737498,0.003146938,0.003650995,0.004348734,0.004355137,0.003466141,0.002408641,0.002050608,0.002000792,-0.004625697,0.028088449,0.033130199,0.045646706,0.056597099,0.074621419,0.09124183,0.091727241,0.086293356,0.091309416,0.052118212,0.031332539,0.030178987
economizer_type,0.001145946,0.002752219,0.004778001,0.002415989,0.00278222,0.003547142,0.00368565,0.003647326,0.002331046,0.001325658,0.001365683,0.002628553,0.003945218,0.003300593,0.002455154,0.002179802,0.002653769,0.0021353,0.004138005,0.006901459,0.010845588,0.006992084,0.004541485,0.0056914,0.008098224,0.00863141,0.004154765,0.002052562
economizer_high_limit,0.001027965,0.002572108,0.004644704,0.000100066,0.000680616,0.001002457,0.002561862,0.004266339,0.004981529,0.004029445,0.003221074,0.004913152,0.003238135,0.000837254,1.98E-05,-0.007130653,0.000128408,0.000485272,0.002201342,0.005678189,0.012705667,0.013221626,0.010931806,0.010892333,0.01399689,0.01018997,0.00228346,0.00056329
wall_base_type,0.001959561,0.002151825,0.0140514,0.002561845,0.002416467,0.002497689,0.00216786,0.002035785,0.001887886,0.001624341,0.001637684,0.001958308,0.002357601,0.002493517,0.002500844,0.001800664,0.015563041,0.013351393,0.012602125,0.014918021,0.019057081,0.021441488,0.028178577,0.030656039,0.024729127,0.0133343,0.011133551,0.014357329
roof_reflectance,0.009604706,0.001891818,0.050014562,0.00050034,0.000571127,0.000884904,0.001650296,0.002333657,0.003138544,0.004206301,0.004066207,0.002415061,0.000980614,0.000558514,0.000476332,-0.007295836,0.017998651,0.027493364,0.04692824,0.069792364,0.101788864,0.127807172,0.122203098,0.102672563,0.093607306,0.048220678,0.023020117,0.01740751
